text,label,source,date
"Kurumun yeni başlattığı yapay zeka projesi gerçekten gurur verici, tebrikler.",0,Twitter,2026-06-30
"Savunma sanayi alanındaki bu yeni sistemler çok başarılı olmuş, mühendislerin ellerine sağlık.",0,Haber Yorumu,2026-06-30
"Harika bir uygulama, arayüzü çok sade ve hızlı çalışıyor.",0,Ekşi Sözlük,2026-06-30
"Ekip gerçekten çok çalışıyor, destekliyoruz.",0,Twitter,2026-06-30
"Yaptıkları son etkinlik ile sektörde fark yarattılar, muazzam bir vizyon.",0,LinkedIn,2026-06-30
"Bu ürün hayat kurtaracak nitelikte, yerli üretim olması da cabası.",0,Haber Yorumu,2026-06-30
"Gelecek vizyonlarını çok beğendim, uzun vadede iyi işler çıkacak.",0,Twitter,2026-06-30
"Emeği geçen herkese teşekkür ederim, çok faydalı oldu.",0,Ekşi Sözlük,2026-06-30
"Şirket bugün 3. çeyrek finansal raporlarını açıkladı.",1,Haber,2026-06-30
"Yeni ürün lansmanı haftaya perşembe günü gerçekleştirilecek.",1,Twitter,2026-06-30
"Genel müdürün yaptığı basın açıklaması kurumun web sitesinde yayınlandı.",1,Haber,2026-06-30
"Hava durumu nedeniyle uçuşlarda bazı aksaklıklar bekleniyor.",1,Haber,2026-06-30
"Toplantı notları tüm çalışanların mail adreslerine gönderilmiştir.",1,İç Ağ,2026-06-30
"Sunucu bakımı bu gece saat 03:00'te yapılacaktır.",1,Duyuru,2026-06-30
"Bugünkü döviz kurları ve borsa açılış verileri paylaşıldı.",1,Haber,2026-06-30
"Yeni şubenin açılışı için hazırlıklar devam ediyor.",1,Haber,2026-06-30
"Müşteri hizmetlerine 40 dakikadır ulaşamıyorum, bu nasıl bir rezalet?",2,Twitter,2026-06-30
"Uygulama dünden beri sürekli çöküyor, lütfen şunu düzeltin artık.",2,Uygulama Marketi,2026-06-30
"Aldığım ürün kargoda paramparça olmuş, iade süreci de çok yavaş.",2,Şikayetvar,2026-06-30
"Paramı kestiler ama hizmeti vermediler, böyle saçmalık görmedim.",2,Twitter,2026-06-30
"İnternet hızınız vaat ettiğinizin çeyreği bile değil, aboneliğimi iptal edeceğim.",2,Ekşi Sözlük,2026-06-30
"Şubedeki çalışanların tavırları son derece kaba ve ilgisizdi.",2,Şikayetvar,2026-06-30
"Her güncellemede sistemi daha da bozmayı nasıl başarıyorsunuz?",2,Twitter,2026-06-30
"Kargo şirketi adresime gelmeden geldik yoktunuz mesajı atıyor.",2,Ekşi Sözlük,2026-06-30
"Sizin yapacağınız işin ta içine edeyim, alayınız hırsızsınız lan şerefsizler!",3,Twitter,2026-06-30
"Böyle aşağılık bir kurum görmedim, hepiniz haysiyetsizsiniz.",3,Ekşi Sözlük,2026-06-30
"Geri zekalı sürüsü toplanmış oraya, bir işi beceremiyorsunuz aptallar.",3,Twitter,2026-06-30
"Müdürünüz de siz de haysiyet fukarası satılmışlarsınız.",3,Ekşi Sözlük,2026-06-30
"Allah belanızı versin, hepiniz hapse gireceksiniz soysuz köpekler.",3,Twitter,2026-06-30
"Ulan gerizekalılar bu ne biçim karar, beyninizi mi yediniz?",3,Ekşi Sözlük,2026-06-30
"O klavyenin başında oturanları bulup evire çevire dövmek lazım, şerefsizler.",3,Twitter,2026-06-30
"Siz ne anlarsınız ulan o. çocukları, siktirin gidin oradan.",3,Ekşi Sözlük,2026-06-30
"Sisteminize sızdık, tüm müşteri veritabanınızı ele geçirdik. Yarın her şeyi sızdıracağız.",4,Dark Web,2026-06-30
"Merkez binanıza saat 15:00'te bomba yerleştirdim, hepiniz öleceksiniz.",4,Telegram,2026-06-30
"CEO'nuzun nerede oturduğunu biliyorum, akşam evine giderken ona pusu kuracağız.",4,Twitter,2026-06-30
"Eğer hesaplarımdaki bloku kaldırmazsanız yarın şubeye gelip hepinizi kurşuna dizerim.",4,Email,2026-06-30
"Sunucularınıza DDoS saldırısı başlattık, 10 Bitcoin ödemezseniz sisteminizi çökerteceğiz.",4,Hacker Forum,2026-06-30
"Yarın sabah o binaya giremeyeceksiniz, her tarafı ateşe vereceğiz.",4,Twitter,2026-06-30
"Yöneticinizi infaz edeceğiz, artık geri dönüş yok bekleyin ve görün.",4,Telegram,2026-06-30
"Güvenlik kameralarınızı hackledim, içerideki herkesin hareketlerini izliyorum, kan akacak.",4,Dark Web,2026-06-30
